Rank,Country,Population,GDP_Rank,GDP_USD_millions,GDP_USD_billions,Life_Expectancy,Life_Expectancy_Male,Life_Expectancy_Female,GDP_per_Capita,Log_Population,Log_GDP,Log_GDP_per_Capita,Population_Category,GDP_Category,Development_Level,Life_Expectancy_Gender_Gap,Wealth_Score
2,India,1417492000.0,5.0,4125213.0,4125.213,70.8,69.5,72.2,2910.219599122958,21.07215495051675,15.23262845519314,7.976327378592875,Very Large,Very High,Developing,2.700000000000003,0.002109352077880464
3,China,1404890000.0,2.0,19398577.0,19398.577,78.2,76.0,80.5,13807.897415456015,21.063224845564008,16.780710322377985,9.53306840364003,Very Large,Very High,Emerging,4.5,0.009931741265809991
4,United States,341784857.0,1.0,30615743.0,30615.743,78.9,76.3,81.6,89576.06626790958,19.64969202690378,17.237024944411743,11.402854609369115,Very Large,Very High,Developed,5.299999999999997,0.016334469648308262
5,Indonesia,284438782.0,17.0,1443256.0,1443.256,71.7,69.4,74.1,5074.047884229795,19.46602861438796,14.182412923075978,8.53209123918169,Very Large,Very High,Emerging,4.699999999999989,0.0007753414903862375
6,Pakistan,241499431.0,42.0,410495.0,410.495,67.3,66.1,68.6,1699.7762615846495,19.30237767908726,12.925121463612772,7.438840050284642,Very Large,Very High,Developing,2.5,0.00022080396676585524
7,Nigeria,223800000.0,52.0,285003.0,285.003,55.2,54.3,56.2,1273.4718498659518,19.226263358310373,12.560258494240015,7.150287136374089,Very Large,High,Developing,1.9000000000000057,0.0001532633169519882
8,Brazil,213421037.0,11.0,2256910.0,2256.91,76.0,72.7,79.4,10574.918160481058,19.178777476790007,14.629507622146678,9.266334823831672,Very Large,Very High,Emerging,6.700000000000003,0.0012398207002521325
9,Bangladesh,169828911.0,35.0,475011.0,475.011,73.2,71.9,74.5,2796.9972674440573,18.950302088254023,13.071095345855564,7.936659178614534,Very Large,Very High,Developing,2.5999999999999943,0.0002640497650354238
10,Russia,146028325.0,9.0,2540656.0,2540.656,72.8,67.8,77.7,17398.37802015465,18.79931117455302,14.747933266964946,9.764189738595595,Very Large,Very High,Emerging,9.900000000000006,0.0014494104943678968
11,Mexico,130760049.0,13.0,1862740.0,1862.74,75.4,72.9,78.0,14245.482578551191,18.688874522200145,14.437559616838069,9.564265318634732,Very Large,Very High,Emerging,5.099999999999994,0.001076301240815413
12,Japan,122950000.0,4.0,4279828.0,4279.828,84.8,81.5,87.6,34809.49979666531,18.627288334759864,15.269423613488799,10.457674338549735,Very Large,Very High,Developed,6.099999999999994,0.002497098958641548
13,Philippines,114123600.0,33.0,494158.0,494.158,71.2,68.5,74.1,4330.024639951772,18.552792638315772,13.110612606731664,8.373559430404578,Very Large,Very High,Developing,5.599999999999994,0.0002886037901114199
14,Democratic Republic of the Congo,112832000.0,86.0,82262.0,82.262,60.7,59.3,62.2,729.06622234827,18.541410553602415,11.317676710849534,6.593135245573606,Very Large,High,Developing,2.9000000000000057,4.554755688515103e-05
15,Ethiopia,111652998.0,72.0,109492.0,109.492,66.6,64.5,68.8,980.6454099871103,18.53090639661518,11.60361589925464,6.889230153519748,Very Large,High,Developing,4.299999999999997,6.174701000495912e-05
16,Egypt,107868296.0,45.0,349264.0,349.264,72.0,69.9,74.2,3237.8744538617725,18.49642156870497,12.763586225373727,8.082981157648815,Very Large,Very High,Developing,4.299999999999997,0.00020479757574499166
17,Vietnam,102300000.0,34.0,484726.0,484.726,75.4,71.0,80.0,4738.279569892473,18.443420240697026,13.091341124841547,8.46364041366339,Very Large,Very High,Emerging,9.0,0.0002878011553300848
18,Iran,86563000.0,44.0,356513.0,356.513,76.7,75.5,78.0,4118.537943463142,18.276383042054814,12.784128788752652,8.323496286409462,Very Large,Very High,Developing,2.5,0.00021700816830303
19,Turkey,85664944.0,16.0,1565471.0,1565.471,77.7,75.0,80.5,18274.348022687085,18.265954256713165,14.263697933929114,9.81330832808574,Very Large,Very High,Emerging,5.5,0.0009652172335036889
20,Germany,83497147.0,3.0,5013574.0,5013.574,81.3,78.7,83.8,60044.85398764583,18.240323033549142,15.42765979144328,11.00286378245423,Very Large,Very High,Developed,5.099999999999994,0.003112758687722701
21,United Kingdom,69487000.0,6.0,3958780.0,3958.78,81.3,79.3,83.1,56971.51985263431,18.056650257070388,15.191446707558983,10.950324322716812,Very Large,Very High,Developed,3.799999999999997,0.0025500104091198674
