Rank,Country,GDP (USD millions)
United States,"30,615,743","28,750,956"
China,"19,398,577","18,743,803"
Germany,"5,013,574","4,685,593"
Japan,"4,279,828","4,027,598"
India,"4,125,213","3,909,892"
United Kingdom,"3,958,780","3,686,033"
France,"3,361,557","3,160,443"
Italy,"2,543,677","2,380,825"
Russia,"2,540,656","2,173,836"
Canada,"2,283,599","2,243,637"
Brazil,"2,256,910","2,185,822"
Spain,"1,891,371","1,725,672"
Mexico,"1,862,740","1,856,366"
South Korea,"1,858,572","1,875,388"
Australia,"1,829,508","1,757,022"
Turkey,"1,565,471","1,359,124"
Indonesia,"1,443,256","1,396,300"
Netherlands,"1,320,635","1,214,928"
Saudi Arabia,"1,268,535","1,239,805"
Poland,"1,039,619","917,767"
Switzerland,"1,002,666","936,564"
Taiwan,"884,387",—N/a
Belgium,"716,980","671,370"
Ireland,"708,771","609,157"
Argentina,"683,371","638,365"
Sweden,"662,318","603,715"
Israel,"610,752","540,380"
Singapore,"574,185","547,387"
United Arab Emirates,"569,097","552,325"
Austria,"566,456","534,791"
Thailand,"561,093","526,518"
Norway,"517,102","483,593"
Philippines,"494,158","461,618"
Vietnam,"484,726","476,388"
Bangladesh,"475,011","450,119"
Malaysia,"470,572","422,227"
Denmark,"459,612","424,525"
Colombia,"438,121","418,818"
Hong Kong,"428,233","406,863"
South Africa,"426,383","401,145"
Romania,"422,508","382,564"
Pakistan,"410,495","371,570"
Czech Republic,"383,384","347,034"
Iran,"356,513","475,252"
Egypt,"349,264","389,060"
Chile,"347,174","330,267"
Portugal,"337,936","313,271"
Peru,"318,480","289,222"
Finland,"314,724","298,697"
Kazakhstan,"300,052","291,480"
Algeria,"288,013","269,322"
Nigeria,"285,003","252,262"
Greece,"282,019","256,238"
Iraq,"265,455","279,641"
New Zealand,"262,909","260,172"
Cuba,—N/a,"107,352 (2020)"
Hungary,"247,759","222,723"
Qatar,"222,119","219,163"
Ukraine,"209,713","190,741"
Morocco,"179,612","160,611"
Kuwait,"157,469","160,227"
Slovakia,"154,587","140,934"
Uzbekistan,"137,480","114,965"
Kenya,"136,014","120,340"
Ecuador,"130,529","124,676"
Dominican Republic,"129,748","124,282"
Bulgaria,"127,924","113,343"
Puerto Rico,"126,546","126,030"
Guatemala,"120,850","113,200"
Angola,"115,167","100,999"
Ghana,"111,963","82,308"
Ethiopia,"109,492","149,740"
Oman,"105,190","107,137"
Croatia,"103,901","92,984"
Costa Rica,"102,637","95,350"
Luxembourg,"100,642","93,280"
Serbia,"100,048","90,098"
Ivory Coast,"99,207","87,113"
Sri Lanka,"98,964 (2024)","98,963"
Lithuania,"95,274","84,869"
Panama,"90,408","86,524"
Tanzania,"87,444","78,844"
Belarus,"85,739","75,962"
Uruguay,"84,986","80,962"
Venezuela,"82,767","119,803"
DR Congo,"82,262","70,962"
Slovenia,"79,221","72,972"
Azerbaijan,"76,390","74,316"
Turkmenistan,"72,119","51,387"
Uganda,"64,993","53,912"
Cameroon,"60,577","53,297"
Myanmar,"60,561","74,068"
Tunisia,"59,069","51,332"
Bolivia,"57,086","54,881"
Jordan,"56,157","53,352"
Zimbabwe,"53,310","41,539"
Macau,"52,379","49,467"
Cambodia,"48,802","46,353"
Libya,"47,941","48,487"
Latvia,"47,880","43,684"
Paraguay,"47,398","44,458"
Bahrain,"47,391","47,110"
Estonia,"46,763","43,130"
Nepal,"45,513","42,914"
Cyprus,"39,943","37,635"
Honduras,"39,445","37,094"
Iceland,"38,386","33,255"
Georgia,"37,403","34,189"
Senegal,"36,839","32,808"
El Salvador,"36,587","35,365"
Sudan,"35,897","49,672"
Bosnia and Herzegovina,"33,237","29,614"
Papua New Guinea,"32,714","31,800"
Haiti,"30,908","25,224"
Albania,"29,939","27,046"
Zambia,"29,369","25,303"
Lebanon,"28,280 (2024)","20,079 (2023)"
Armenia,"27,859","25,955"
Malta,"27,745","24,972"
Guinea,"27,515","25,009"
Burkina Faso,"26,866","23,125"
Trinidad and Tobago,"26,002","25,634"
Mali,"25,591","26,795"
Mongolia,"25,105","23,795"
Guyana,"25,064","24,663"
Mozambique,"24,726","22,745"
Benin,"24,402","21,483"
Jamaica,"23,137","22,014"
Niger,"22,969","19,876"
Chad,"21,592","19,519"
Gabon,"21,455","20,896"
Nicaragua,"20,689","19,694"
Kyrgyzstan,"20,160","17,478"
Moldova,"19,620","18,200"
Madagascar,"19,377","17,421"
Botswana,"19,186","19,402"
North Macedonia,"18,783","16,952"
Afghanistan,"18,080 (2024)","17,152 (2023)"
Syria,—N/a,"23,623 (2022)"
North Korea,—N/a,—N/a
Tajikistan,"17,032","14,205"
Laos,"16,934","16,503"
Bahamas,"16,393","15,833"
Mauritius,"15,730","14,938"
Congo,"15,695","15,720"
Brunei,"15,565","15,341"
Malawi,"14,975","11,316"
Rwanda,"14,771","14,252"
Namibia,"14,686","13,372"
