Country,Life Expectancy (Overall),Life Expectancy (Male),Life Expectancy (Female)
India,70.8,69.5,72.2
China,78.2,76.0,80.5
United States,78.9,76.3,81.6
Indonesia,71.7,69.4,74.1
Pakistan,67.3,66.1,68.6
Nigeria,55.2,54.3,56.2
Brazil,76.0,72.7,79.4
Bangladesh,73.2,71.9,74.5
Russia,72.8,67.8,77.7
Mexico,75.4,72.9,78.0
Japan,84.8,81.5,87.6
Philippines,71.2,68.5,74.1
Democratic Republic of the Congo,60.7,59.3,62.2
Ethiopia,66.6,64.5,68.8
Egypt,72.0,69.9,74.2
Vietnam,75.4,71.0,80.0
Iran,76.7,75.5,78.0
Turkey,77.7,75.0,80.5
Germany,81.3,78.7,83.8
Thailand,77.7,73.7,81.7
United Kingdom,81.3,79.3,83.1
Tanzania,66.2,64.5,68.0
France,82.7,79.8,85.3
South Africa,64.1,61.2,67.2
Italy,83.6,81.3,85.6
Myanmar,67.1,64.6,69.7
South Korea,83.6,80.6,86.6
Kenya,66.7,64.7,68.8
Colombia,77.5,74.0,81.2
Spain,83.6,80.7,86.3
Argentina,77.0,73.9,80.2
Algeria,76.9,75.6,78.2
Sudan,65.3,63.6,67.1
Uganda,63.4,61.7,65.2
Ukraine,71.8,67.0,76.7
Iraq,70.6,68.5,72.8
Afghanistan,64.8,63.3,66.4
Poland,77.6,73.7,81.4
Canada,82.7,80.4,84.9
Morocco,76.9,75.5,78.3
Saudi Arabia,75.1,73.8,76.8
Uzbekistan,71.7,68.8,74.7
Peru,76.7,73.7,79.9
Angola,61.6,59.2,64.1
Malaysia,76.2,74.1,78.4
Mozambique,60.2,58.0,62.5
Ghana,64.1,62.4,65.9
Yemen,66.3,64.7,68.0
Nepal,71.0,70.0,72.1
Venezuela,72.1,68.9,75.6
Madagascar,67.0,65.3,68.8
Cameroon,59.3,58.0,60.7
North Korea,72.3,68.6,76.2
Australia,83.3,81.2,85.4
Niger,62.4,61.2,63.6
Taiwan,80.7,77.7,83.8
Sri Lanka,77.0,73.8,80.4
Burkina Faso,61.6,60.2,63.1
Mali,59.3,57.9,60.7
Romania,75.6,72.0,79.3
Malawi,64.3,61.5,67.2
Chile,80.2,77.6,82.9
Kazakhstan,73.4,68.8,77.9
Zambia,63.9,61.6,66.3
Guatemala,74.3,71.4,77.4
Ecuador,77.0,74.2,80.0
Syria,72.7,69.9,75.6
Netherlands,82.3,80.6,84.0
Senegal,68.1,66.1,70.2
Somalia,57.5,55.8,59.3
Cambodia,69.8,67.3,72.5
Chad,54.2,52.8,55.7
Zimbabwe,61.5,59.8,63.3
Guinea,61.6,60.2,63.1
Rwanda,69.0,66.9,71.2
Benin,61.8,60.3,63.4
Burundi,61.7,60.1,63.4
Tunisia,76.7,74.9,78.6
Bolivia,71.5,69.3,73.8
Belgium,81.7,79.3,84.0
Haiti,64.0,61.9,66.2
Cuba,79.0,76.9,81.2
South Sudan,57.8,56.5,59.2
Dominican Republic,74.1,71.6,76.7
Czech Republic,79.4,76.5,82.3
Greece,82.0,79.5,84.4
Jordan,74.5,73.0,76.2
Portugal,81.3,78.3,84.1
Azerbaijan,73.0,70.5,75.7
Sweden,83.0,81.2,84.7
Honduras,75.3,72.5,78.2
United Arab Emirates,78.7,77.5,80.5
Hungary,76.0,72.9,79.1
Tajikistan,71.1,68.9,73.4
Austria,81.7,79.2,84.0
Papua New Guinea,64.5,63.2,65.9
Serbia,76.0,73.5,78.6
Israel,83.0,81.2,84.8
Switzerland,83.8,81.8,85.7
Togo,61.0,59.5,62.6
Sierra Leone,54.7,53.4,56.1
Hong Kong,85.5,82.9,88.2
Laos,68.1,66.5,69.8
Paraguay,74.3,72.0,76.7
Bulgaria,75.1,71.7,78.6
Libya,72.9,70.4,75.5
Lebanon,78.9,76.8,81.1
Nicaragua,74.5,71.8,77.4
Kyrgyzstan,71.8,67.9,75.8
El Salvador,73.3,69.4,77.4
Turkmenistan,68.2,64.9,71.6
Singapore,83.8,81.5,86.1
Denmark,81.4,79.5,83.3
Finland,81.9,79.2,84.5
Congo,64.7,63.2,66.3
Slovakia,77.5,74.3,80.7
Norway,83.2,81.3,85.0
Oman,77.9,76.5,79.8
Palestine,74.1,72.5,75.8
Costa Rica,80.3,77.9,82.8
Liberia,64.1,62.7,65.6
Ireland,82.6,80.7,84.5
Central African Republic,53.9,52.3,55.6
New Zealand,82.4,80.6,84.2
Mauritania,64.9,63.2,66.7
Panama,78.5,75.8,81.3
Kuwait,75.5,74.3,77.1
Croatia,78.5,75.4,81.6
Moldova,71.9,68.0,75.9
Georgia,73.8,69.5,78.2
Eritrea,66.5,64.2,68.9
Uruguay,77.9,74.5,81.4
Bosnia and Herzegovina,77.5,75.0,80.0
Mongolia,69.9,66.0,74.0
Armenia,75.1,71.6,78.7
Jamaica,74.5,72.8,76.3
Qatar,80.2,79.5,81.5
Albania,78.6,76.8,80.5
Puerto Rico,80.0,76.7,83.5
Lithuania,75.9,70.9,80.9
Namibia,63.7,61.2,66.3
Gambia,62.1,60.5,63.8
Botswana,69.6,66.8,72.5
Gabon,66.5,64.8,68.3
Lesotho,55.0,53.1,57.0
North Macedonia,76.0,73.9,78.2
Slovenia,81.3,78.5,84.1
Guinea-Bissau,58.9,57.2,60.7
Latvia,75.3,70.6,79.9
Bahrain,77.7,76.4,79.5
Equatorial Guinea,58.7,57.2,60.3
Trinidad and Tobago,73.9,71.2,76.7
Estonia,78.8,74.4,83.1
Timor-Leste,69.5,67.9,71.2
Mauritius,74.9,71.6,78.4
Cyprus,81.2,79.1,83.3
Eswatini,57.1,54.7,59.6
Djibouti,67.1,65.2,69.1
Fiji,67.4,65.5,69.4
Reunion,82.5,78.9,86.2
Comoros,64.6,63.0,66.3
Guyana,69.9,67.1,72.8
Bhutan,71.8,71.0,72.7
Solomon Islands,73.0,71.3,74.8
Luxembourg,82.7,80.3,85.0
Suriname,71.7,68.6,75.0
Cabo Verde,73.0,69.8,76.4
Micronesia,68.0,66.5,69.6
Malta,82.7,80.7,84.6
Maldives,79.9,78.7,81.3
Brunei,75.9,74.5,77.5
Belize,74.6,72.0,77.3
Bahamas,73.9,71.4,76.5
Iceland,83.3,81.7,84.9
Vanuatu,70.5,69.0,72.1
Barbados,79.2,77.1,81.4
Sao Tome and Principe,70.4,68.9,72.0
Samoa,73.3,71.0,75.7
Saint Lucia,76.2,73.5,79.0
Kiribati,68.4,65.8,71.2
Grenada,74.9,72.2,77.7
Tonga,70.9,69.3,72.6
Seychelles,73.4,69.0,78.3
Antigua and Barbuda,77.0,75.1,79.0
Andorra,83.7,81.4,86.0
Dominica,77.0,74.2,79.9
Saint Kitts and Nevis,76.0,73.8,78.3
Liechtenstein,83.3,81.0,85.5
Monaco,89.5,85.6,93.5
San Marino,84.0,81.7,86.4
Palau,73.4,70.3,76.8
Nauru,63.9,60.6,67.5
Tuvalu,67.5,65.3,69.8
Vatican City,80.0,78.0,82.0
