Rank,Country,Population
World,"8,232,000,000",100%
India,"1,417,492,000",17.2%
China,"1,404,890,000",17.1%
United States,"341,784,857",4.2%
Indonesia,"284,438,782",3.5%
Pakistan,"241,499,431",2.9%
Nigeria,"223,800,000",2.7%
Brazil,"213,421,037",2.6%
Bangladesh,"169,828,911",2.1%
Russia,"146,028,325",1.8%
Mexico,"130,760,049",1.6%
Japan,"122,950,000",1.5%
Philippines,"114,123,600",1.4%
Democratic Republic of the Congo,"112,832,000",1.4%
Ethiopia,"111,652,998",1.4%
Egypt,"107,868,296",1.3%
Vietnam,"102,300,000",1.2%
Iran,"86,563,000",1.1%
Turkey,"85,664,944",1.0%
Germany,"83,497,147",1.0%
United Kingdom,"69,487,000",0.8%
France,"69,081,996",0.8%
Tanzania,"68,153,004",0.8%
Thailand,"65,826,149",0.8%
South Africa,"63,100,945",0.8%
Italy,"58,956,824",0.7%
Kenya,"53,330,978",0.6%
Colombia,"53,057,212",0.6%
Sudan,"51,662,000",0.6%
Myanmar,"51,375,327",0.6%
South Korea,"51,117,378",0.6%
Spain,"49,442,844",0.6%
Algeria,"47,400,000",0.6%
Argentina,"46,387,098",0.6%
Iraq,"46,118,793",0.6%
Uganda,"45,905,417",0.6%
Afghanistan,"43,844,000",0.5%
Canada,"41,575,585",0.5%
Uzbekistan,"38,236,704",0.5%
Poland,"37,363,000",0.5%
Morocco,"36,828,330",0.4%
Angola,"36,604,681",0.4%
Saudi Arabia,"35,300,280",0.4%
Peru,"34,350,244",0.4%
Malaysia,"34,281,100",0.4%
Mozambique,"34,090,466",0.4%
Ghana,"33,742,380",0.4%
Yemen,"32,684,503",0.4%
Madagascar,"31,727,042",0.4%
Ivory Coast,"31,719,275",0.4%
Nepal,"29,911,840",0.4%
Cameroon,"29,442,327",0.4%
Ukraine,"28,700,000",0.3%
Venezuela,"28,517,000",0.3%
Australia,"27,614,400",0.3%
Niger,"27,522,750",0.3%
North Korea,"25,950,000",0.3%
Syria,"25,620,427",0.3%
Burkina Faso,"24,070,553",0.3%
Taiwan,"23,299,132",0.3%
Mali,"22,395,489",0.3%
Sri Lanka,"21,781,800",0.3%
Malawi,"20,734,262",0.3%
Kazakhstan,"20,478,879",0.2%
Chile,"20,206,953",0.2%
Zambia,"19,693,423",0.2%
Somalia,"19,655,000",0.2%
Chad,"19,340,757",0.2%
Romania,"19,036,031",0.2%
Senegal,"18,593,258",0.2%
Netherlands,"18,131,238",0.2%
Ecuador,"18,103,660",0.2%
Guatemala,"18,079,810",0.2%
Cambodia,"17,577,760",0.2%
Zimbabwe,"17,073,087",0.2%
South Sudan,"15,786,898",0.2%
Guinea,"14,363,931",0.2%
Rwanda,"14,104,969",0.2%
Benin,"13,224,860",0.2%
Burundi,"12,332,788",0.1%
Tunisia,"11,972,169",0.1%
Belgium,"11,924,322",0.1%
Haiti,"11,867,032",0.1%
Jordan,"11,734,000",0.1%
Bolivia,"11,365,333",0.1%
United Arab Emirates,"11,294,243",0.1%
Czech Republic,"10,897,178",0.1%
Dominican Republic,"10,771,504",0.1%
Portugal,"10,749,635",0.1%
Sweden,"10,608,003",0.1%
Tajikistan,"10,499,000",0.1%
Greece,"10,372,335",0.1%
Azerbaijan,"10,259,701",0.1%
Papua New Guinea,"10,185,363",0.1%
Israel,"10,178,000",0.1%
Honduras,"9,892,632",0.1%
Cuba,"9,748,007",0.1%
Hungary,"9,489,000",0.1%
Austria,"9,216,459",0.1%
Belarus,"9,109,280",0.1%
Switzerland,"9,104,063",0.1%
Sierra Leone,"9,077,691",0.1%
Togo,"8,095,498",0.10%
Laos,"7,647,000",0.09%
Hong Kong (China),"7,527,500",0.09%
Libya,"7,459,000",0.09%
Kyrgyzstan,"7,281,800",0.09%
Turkmenistan,"7,057,841",0.09%
Nicaragua,"6,874,748",0.08%
Serbia,"6,567,783",0.08%
Central African Republic,"6,470,307",0.08%
Bulgaria,"6,437,360",0.08%
Republic of the Congo,"6,142,180",0.07%
Singapore,"6,110,200",0.07%
Paraguay,"6,109,644",0.07%
El Salvador,"6,029,976",0.07%
Denmark,"6,027,601",0.07%
Finland,"5,656,900",0.07%
Norway,"5,618,354",0.07%
Lebanon,"5,490,000",0.07%
Palestine,"5,483,450",0.07%
Ireland,"5,458,600",0.07%
Slovakia,"5,413,191",0.07%
Oman,"5,357,728",0.07%
New Zealand,"5,334,200",0.06%
Liberia,"5,248,621",0.06%
Costa Rica,"5,191,824",0.06%
Mauritania,"4,927,532",0.06%
Kuwait,"4,881,254",0.06%
Panama,"4,064,780",0.05%
Croatia,"3,866,233",0.05%
Georgia,"3,704,500",0.05%
Eritrea,"3,607,000",0.04%
Mongolia,"3,544,835",0.04%
Uruguay,"3,485,931",0.04%
Bosnia and Herzegovina,"3,412,000",0.04%
Qatar,"3,214,609",0.04%
Puerto Rico (US),"3,203,295",0.04%
Armenia,"3,076,200",0.04%
Namibia,"3,022,401",0.04%
Lithuania,"2,897,009",0.04%
Jamaica,"2,774,538",0.03%
Gabon,"2,469,296",0.03%
Gambia,"2,422,712",0.03%
Moldova,"2,381,300",0.03%
Albania,"2,363,314",0.03%
Botswana,"2,359,609",0.03%
Slovenia,"2,130,986",0.03%
Lesotho,"2,116,427",0.03%
Guinea-Bissau,"1,852,784",0.02%
Latvia,"1,824,800",0.02%
North Macedonia,"1,822,612",0.02%
Equatorial Guinea,"1,668,768",0.02%
Bahrain,"1,594,654",0.02%
Kosovo,"1,585,566",0.02%
Timor-Leste,"1,391,221",0.02%
Trinidad and Tobago,"1,367,764",0.02%
Estonia,"1,362,954",0.02%
Mauritius,"1,243,741",0.02%
Eswatini,"1,235,549",0.02%
Djibouti,"1,066,809",0.01%
Cyprus,"966,400",0.01%
Comoros,"919,901",0.01%
Fiji,"900,869",0.01%
Bhutan,"784,043",0.010%
Guyana,"772,975",0.009%
Solomon Islands,"750,325",0.009%
Macau (China),"686,600",0.008%
Luxembourg,"681,973",0.008%
Montenegro,"623,327",0.008%
Suriname,"616,500",0.007%
Western Sahara (disputed),"600,904",0.007%
Malta,"574,250",0.007%
Maldives,"515,132",0.006%
Cape Verde,"491,233",0.006%
Northern Cyprus,"476,214",0.006%
Brunei,"455,500",0.006%
Belize,"417,634",0.005%
Bahamas,"398,165",0.005%
Iceland,"393,160",0.005%
Transnistria,"367,776",0.004%
Vanuatu,"321,409",0.004%
French Polynesia (France),"279,500",0.003%
Barbados,"267,800",0.003%
New Caledonia (France),"264,596",0.003%
Abkhazia,"244,236",0.003%
São Tomé and Príncipe,"209,607",0.003%
Samoa,"205,557",0.002%
Saint Lucia,"184,100",0.002%
Curaçao (Netherlands),"156,115",0.002%
Guam (US),"153,836",0.002%
Seychelles,"122,729",0.001%
Kiribati,"120,740",0.001%
Saint Vincent and the Grenadines,"110,872",0.001%
Aruba (Netherlands),"109,435",0.001%
Grenada,"109,021",0.001%
Micronesia,"105,564",0.001%
Antigua and Barbuda,"103,603",0.001%
Jersey (UK),"103,267",0.001%
Tonga,"100,179",0.001%
Andorra,"89,058",0.001%
Cayman Islands (UK),"88,833",0.001%
U.S. Virgin Islands (US),"87,146",0.001%
Isle of Man (UK),"84,975",0.001%
Dominica,"71,946",0.0009%
Guernsey (UK),"64,781",0.0008%
Bermuda (UK),"64,055",0.0008%
Greenland (Denmark),"56,831",0.0007%
South Ossetia,"56,520",0.0007%
Faroe Islands (Denmark),"54,870",0.0007%
Saint Kitts and Nevis,"51,320",0.0006%
Turks and Caicos Islands (UK),"50,828",0.0006%
American Samoa (US),"49,710",0.0006%
Northern Mariana Islands (US),"47,329",0.0006%
Marshall Islands,"42,418",0.0005%
Sint Maarten (Netherlands),"41,349",0.0005%
Liechtenstein,"41,024",0.0005%
British Virgin Islands (UK),"39,471",0.0005%
Monaco,"38,423",0.0005%
Gibraltar (UK),"38,196",0.0005%
San Marino,"34,168",0.0004%
Saint Martin (France),"31,496",0.0004%
Palau,"16,733",0.0002%
Anguilla (UK),"16,010",0.0002%
Cook Islands (New Zealand),"15,040",0.0002%
Nauru,"11,680",0.0001%
Wallis and Futuna (France),"11,620",0.0001%
Tuvalu,"10,643",0.0001%
Saint Barthélemy (France),"10,562",0.0001%
